id,name,sex,position,Derzeitige NGO,Andere NGO,Organisation,Politik,Medien/Rundfunk/Fernsehen
Sarrazin,Manuel Sarrazin,m,Vorstand,help,,,Buendnis 90 Die Gruenen,
Kopp,Gudrun Kopp,w,Vorstand,help,,,FDP,
JostenJanssen,Angelika JostenJanssen,w,Vorstand,help,,,,
Baust,Uwe Baust,m,Kuratorium,help,,,,
Dieckmann,Baerbel Dieckmann,w,Kuratorium,help,WHH; Transparency International Deutschland,Deutschen Gesellschaft fuer die Vereinten Nationen,SPD,
Echtermeyer,Volker Echtermeyer,m,Kuratorium,help,,,,
Heininger,HansUlrich Heininger,m,Kuratorium,help,,,,
Kelber,Ulrich Kelber,m,Kuratorium,help,,,SPD,
Kersting,HeinzJoachim Kersting,m,Kuratorium,help,,,,
Klippert,Bernd Klippert,m,Kuratorium,help,,,,
LueckingMichel,Claudia LueckingMichel,w,Kuratorium,help,Don Bosco Mondo eV,Zentralkomitee der deutschen Katholiken; Katholischen Deutschen Frauenbund KDFB; Laiengremium der katholischen Kirche in Deutschland; Arbeitsgemeinschaft fuer Entwicklungshilfe eV AGEH; ND Bund Neudeutschland,CDU,
Rolfes,KarlHeinz Rolfes,m,Kuratorium,help,,,,
Sridharan,AshokAlexander Sridharan,m,Kuratorium,help,,,CDU,
Pastors,Bernd Pastors,m,Vorstand,am,Aktion Deutschland Hilft,KolpingBildungswerks Aachen gGmbH; Kreissynode Evangelischer Kirchenkreis GladbachNeuss,,
Bonsmann,Christoph Bonsmann,m,Vorstand,am,medicus mundi international; Ecumenical Pharmaceutical Network,Deutschen Gesellschaft fuer Katastrophenmedizin,,
Biermann,Susanne Biermann,w,Vorstand,am,,,,
Thomassen,Siegfried Thomassen,m,Praesidium,am,,,,
Menn,Thomas Menn,m,Praesidium,am,,,,
Derix,Stefan Derix,m,Praesidium,am,,,,
Hochbruck,Marlis Hochbruck,w,Praesidium,am,,,,
Viefers,Ulrich Viefers,m,Praesidium,am,,,,
Optendrenk,Marcus Optendrenk,m,Beirat,am,,AdalbertStiftung Krefeld; Haus der Geschichte NordrheinWestfalen,CDU,
Kersting,HeinzJoachim Kersting,m,Beirat,am,,,,
Glimm,Stefan Glimm,m,Beirat,am,,Global Aluminium Foil Roller Initiative GLAFRI,,
Koerber,Manfred Koerber,m,Beirat,am,,NellBreuningHauses,,
Kindling,Ullrich Kindling,m,Beirat,am,,,,
Brockes,Dietmar Brockes,m,Beirat,am,,,FDP,
Schummer,Uwe Schummer,m,Beirat,am,,,CDU,
Fertmann,Marlis Fertmann,w,Beirat,am,,,,
Schiefner,Udo Schiefner,m,Beirat,am,,,SPD,
Kofler,Baerbel Kofler,w,Beirat,am,,,SPD,
Weinholt,Werner Weinholt,m,Beirat,am,Paul Gerhardt Diakonie eV,,,
Schiessl,Peter Schiessl,m,Vorstand,cbm,,,,
Brockhaus,Rainer Brockhaus,m,Vorstand,cbm,,,,
Biley,Amichia Biley,m,Aufsichtsrat,cbm,,,,
Duncker,Claus Duncker,m,Aufsichtsrat,cbm,,Deutschen Blindenstudienanstalt eV blista,,
Fischer,Siegfried Fischer,m,Aufsichtsrat,cbm,,,,
Heesch,Peter Heesch,m,Aufsichtsrat,cbm,,,,
Huppenbauer,Christoph Huppenbauer,m,Aufsichtsrat,cbm,,,,
Rabbow,Michael Rabbow,m,Aufsichtsrat,cbm,,,,
Rossmann,Nina Rossmann,w,Aufsichtsrat,cbm,,,,
Schuermann,Eberhard Schuermann,m,Aufsichtsrat,cbm,,,,
Starzacher,Karl Starzacher,m,Aufsichtsrat,cbm,,,SPD,
